Mg,Ca,Ba,Na,K,Al,Si,Fe,RI,Type
2.695_to_inf,7.02_to_8.275,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.42_to_1.78,All,All,-inf_to_1.517335,build wind non-float
2.695_to_inf,7.02_to_8.275,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.78_to_inf,All,All,-inf_to_1.517335,build wind non-float
2.695_to_inf,7.02_to_8.275,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.42_to_1.78,All,All,-inf_to_1.517335,build wind non-float
2.695_to_inf,7.02_to_8.275,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.42_to_1.78,All,All,-inf_to_1.517335,build wind non-float
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.42_to_1.78,All,All,1.517335_to_1.517875,vehic wind float
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,-inf_to_1.42,All,All,1.517335_to_1.517875,build wind float
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.42_to_1.78,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,-inf_to_1.42,All,All,-inf_to_1.517335,build wind float
-inf_to_2.695,8.275_to_10.075,0.335_to_inf,14.065_to_inf,-inf_to_0.055,1.78_to_inf,All,All,-inf_to_1.517335,headlamps
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,-inf_to_1.42,All,All,1.517335_to_1.517875,build wind float
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,-inf_to_1.42,All,All,-inf_to_1.517335,vehic wind float
2.695_to_inf,7.02_to_8.275,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.78_to_inf,All,All,-inf_to_1.517335,build wind non-float
2.695_to_inf,7.02_to_8.275,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,-inf_to_1.42,All,All,-inf_to_1.517335,build wind non-float
2.695_to_inf,8.275_to_10.075,-inf_to_0.335,-inf_to_14.065,0.055_to_0.745,1.42_to_1.78,All,All,-inf_to_1.517335,build wind non-float
-inf_to_2.695,8.275_to_10.075,-inf_to_0.335,14.065_to_inf,-inf_to_0.055,1.42_to_1.78,All,All,1.517875_to_inf,tableware
